Symbol,Company,Sector,MarketCap,PE,LastUpdated,High,Low,Volume,Dividends
ADANIENT.NS,Adani Enterprises Limited,Energy,2849071955968,33.986122,2026-02-03T15:15:36.331614+05:30,2695.0,1848.0,295525928,1.260331
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials,3533121257472,27.670517,2026-02-03T15:15:36.331614+05:30,1549.0,1031.4816601447883,557165956,7.0
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Healthcare,1019145617408,60.851646,2026-02-03T15:15:36.331614+05:30,8099.5,5993.328624607504,97320408,19.0
ASIANPAINT.NS,Asian Paints Limited,Basic Materials,2324207763456,60.44877,2026-02-03T15:15:36.331614+05:30,2985.699951171875,2102.045288135926,292318879,25.05
AXISBANK.NS,Axis Bank Limited,Financial Services,4217275416576,16.119953,2026-02-03T15:15:36.331614+05:30,1418.300048828125,977.2148108389374,1618339079,1.0
BAJAJ-AUTO.NS,Bajaj Auto Limited,Consumer Cyclical,2678590275584,30.151196,2026-02-03T15:15:36.331614+05:30,9941.0,6914.118957712413,93316287,210.0
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,5997219282944,32.747795,2026-02-03T15:15:36.331614+05:30,1102.5,797.578583582877,2119392721,5.6000000000000005
BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,3213365608448,33.620255,2026-02-03T15:15:36.331614+05:30,2195.0,1726.4088322688208,354241526,1.0
BPCL.NS,Bharat Petroleum Corporation Limited,Energy,1620648787968,6.488622,2026-02-03T15:15:36.331614+05:30,377.5011520800333,219.64357989465313,1945251620,22.5
BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,12161623523328,31.064262,2026-02-03T15:15:36.331614+05:30,2174.5,1546.5708862217894,1687996478,16.0
BRITANNIA.NS,Britannia Industries Limited,Consumer Defensive,1416907718656,61.288807,2026-02-03T15:15:36.331614+05:30,6336.0,4447.712523679271,86398740,75.0
CIPLA.NS,Cipla Limited,Healthcare,1067401412608,23.483206,2026-02-03T15:15:36.331614+05:30,1673.0,1281.699951171875,368054692,16.0
COALINDIA.NS,Coal India Limited,Energy,2641961680896,8.463968,2026-02-03T15:15:36.331614+05:30,461.54998779296875,330.62254523546545,1552872573,20.9
DIVISLAB.NS,Divi's Laboratories Limited,Healthcare,1648825335808,66.46335,2026-02-03T15:15:36.331614+05:30,7039.446635250951,4932.540321884288,100405642,30.0
DRREDDY.NS,Dr. Reddy's Laboratories Limited,Healthcare,1029387321344,18.214497,2026-02-03T15:15:36.331614+05:30,1371.0048010133999,1013.5718351625553,450150178,8.0
EICHERMOT.NS,Eicher Motors Limited,Consumer Cyclical,1978108870656,38.811153,2026-02-03T15:15:36.331614+05:30,7613.5,4586.528606929082,117210138,70.0
GRASIM.NS,Grasim Industries Limited,Basic Materials,1903947153408,44.169025,2026-02-03T15:15:36.331614+05:30,2977.800048828125,2293.30718583947,153845231,10.0
HCLTECH.NS,HCL Technologies Limited,Technology,4596903706624,27.990114,2026-02-03T15:15:36.331614+05:30,1780.0999755859375,1258.641707724703,673795099,54.0
HDFCBANK.NS,HDFC Bank Limited,Financial Services,14597071306752,21.159937,2026-02-03T15:15:36.331614+05:30,1020.5,819.4732095421047,5063131651,13.5
HDFCLIFE.NS,HDFC Life Insurance Company Limited,Financial Services,1553094672384,82.28571,2026-02-03T15:15:36.331614+05:30,820.75,598.6951336896532,662729850,2.1
HEROMOTOCO.NS,Hero MotoCorp Limited,Consumer Cyclical,1152470089728,21.841347,2026-02-03T15:15:36.331614+05:30,6388.5,3294.1890091098116,175874535,165.0
HINDALCO.NS,Hindalco Industries Limited,Basic Materials,2136155357184,11.966434,2026-02-03T15:15:36.331614+05:30,1029.800048828125,542.4717959005195,1332387008,5.0
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,5570411102208,51.05082,2026-02-03T15:15:36.331614+05:30,2728.5509248247226,2097.284437084069,403580248,43.0
ICICIBANK.NS,ICICI Bank Limited,Financial Services,9941183102976,18.988934,2026-02-03T15:15:36.331614+05:30,1488.5144734435703,1190.9108768010287,2652826920,11.0
ITC.NS,ITC Limited,Consumer Defensive,3966754357248,19.459127,2026-02-03T15:15:36.331614+05:30,436.1636608448351,302.0,4285746114,14.35
INDUSINDBK.NS,IndusInd Bank Limited,Financial Services,719281913856,0.0,2026-02-03T15:15:36.331614+05:30,1082.0,606.0,1774866124,0.0
INFY.NS,Infosys Limited,Technology,6700877217792,23.476967,2026-02-03T15:15:36.331614+05:30,1850.2432794461592,1269.4320382766355,1895572976,45.0
JSWSTEEL.NS,JSW Steel Limited,Basic Materials,2999834378240,40.31517,2026-02-03T15:15:36.331614+05:30,1245.0,902.7690076003838,424593505,2.8
KOTAKBANK.NS,Kotak Mahindra Bank Limited,Financial Services,4133843894272,21.992064,2026-02-03T15:15:36.331614+05:30,459.8498287702682,378.34378974407076,4424146811,0.5
LTIM.NS,LTIMindtree Limited,Technology,1795528982528,37.757137,2026-02-03T15:15:36.331614+05:30,6429.5,3753.182142516292,77061180,67.0
LT.NS,Larsen & Toubro Limited,Industrials,5557332738048,31.603691,2026-02-03T15:15:36.331614+05:30,4195.0,2937.900120111403,440637481,34.0
M&M.NS,Mahindra & Mahindra Limited,Consumer Cyclical,4237669171200,27.925005,2026-02-03T15:15:36.331614+05:30,3839.89990234375,2405.672549234822,630759343,25.3
MARUTI.NS,Maruti Suzuki India Limited,Consumer Cyclical,4645926731776,31.131102,2026-02-03T15:15:36.331614+05:30,17370.0,10941.030958165768,93873977,135.0
NTPC.NS,NTPC Limited,Utilities,3474800508928,19.820244,2026-02-03T15:15:36.331614+05:30,365.95001220703125,287.42509487399354,2727879200,6.1
NESTLEIND.NS,Nestlé India Limited,Consumer Defensive,2522235273216,77.48816,2026-02-03T15:15:36.331614+05:30,1340.4000244140625,1050.582767116736,348198726,5.0
ONGC.NS,Oil and Natural Gas Corporation Limited,Energy,3230615470080,8.824741,2026-02-03T15:15:36.331614+05:30,277.7699890136719,199.0504409043276,2648857613,7.25
POWERGRID.NS,Power Grid Corporation of India Limited,Utilities,2633465856000,18.17394,2026-02-03T15:15:36.331614+05:30,315.3094877243042,242.16160676642085,3087445341,5.75
RELIANCE.NS,Reliance Industries Limited,Energy,19478641377280,23.42011,2026-02-03T15:15:36.331614+05:30,1611.800048828125,1110.415052053189,2757985722,5.5
SBILIFE.NS,SBI Life Insurance Company Limited,Financial Services,2006461972480,81.300285,2026-02-03T15:15:36.331614+05:30,2109.60009765625,1377.2287242745233,252300620,2.7
SBIN.NS,State Bank of India,Financial Services,9838915485696,11.855188,2026-02-03T15:15:36.331614+05:30,1089.800048828125,666.6146467698901,2470242494,15.9
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Healthcare,4085587640320,37.35849,2026-02-03T15:15:36.331614+05:30,1849.0,1547.9543734723854,582846188,5.5
TCS.NS,Tata Consultancy Services Limited,Technology,11678824529920,24.47975,2026-02-03T15:15:36.331614+05:30,3916.6439855178123,2804.957413772581,670214707,109.0
TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,1143525343232,77.765816,2026-02-03T15:15:36.331614+05:30,1220.9000244140625,923.2573200211355,327077543,8.25
TATASTEEL.NS,Tata Steel Limited,Basic Materials,2406567903232,35.405506,2026-02-03T15:15:36.331614+05:30,202.99000549316406,122.44452351663803,7047367327,3.6
TECHM.NS,Tech Mahindra Limited,Technology,1521213112320,32.998463,2026-02-03T15:15:36.331614+05:30,1854.0,1175.3920904272206,475450180,45.0
TITAN.NS,Titan Company Limited,Consumer Cyclical,3595105468416,86.87888,2026-02-03T15:15:36.331614+05:30,4312.10009765625,2916.223769645376,221187181,11.0
ULTRACEMCO.NS,UltraTech Cement Limited,Basic Materials,3704076107776,48.299004,2026-02-03T15:15:36.331614+05:30,13097.0,9984.560419697713,67525390,77.5
UPL.NS,UPL Limited,Basic Materials,624669753344,35.29342,2026-02-03T15:15:36.331614+05:30,812.2000122070312,583.5101615908118,612086157,6.0
WIPRO.NS,Wipro Limited,Technology,2543433547776,19.23851,2026-02-03T15:15:36.331614+05:30,306.88486488761436,217.97428105597103,2457936645,11.0
